name,slug,company_count
aerospace and defense,aerospace-and-defense,27
air freight transportation and logistics,air-freight-transportation-and-logistics,79
air transportation - airlines,air-transportation---airlines,29
air transportation - airport services,air-transportation---airport-services,14
automobiles and components,automobiles-and-components,293
"banks, diverse financials, insurance",banks-diverse-financials-insurance,273
building products,building-products,169
chemicals,chemicals,234
construction materials,construction-materials,107
construction and engineering,construction-and-engineering,429
construction and materials,construction-and-materials,2
"consumer durables, household and personal products",consumer-durables-household-and-personal-products,312
containers and packaging,containers-and-packaging,237
education services,education-services,14
"electric utilities and independent power producers and energy traders (including fossil, alternative and nuclear energy)",electric-utilities-and-independent-power-producers-and-energy-traders-including-fossil-alternative-and-nuclear-energy,151
electrical equipment and machinery,electrical-equipment-and-machinery,574
food production - agricultural production,food-production---agricultural-production,105
food production - animal source food production,food-production---animal-source-food-production,54
food and beverage processing,food-and-beverage-processing,509
food and staples retailing,food-and-staples-retailing,96
"forest and paper products - forestry, timber, pulp and paper, rubber",forest-and-paper-products---forestry-timber-pulp-and-paper-rubber,126
ground transportation - highways and railtracks,ground-transportation---highways-and-railtracks,28
ground transportation - railroads transportation,ground-transportation---railroads-transportation,53
ground transportation - trucking transportation,ground-transportation---trucking-transportation,129
healthcare equipment and supplies,healthcare-equipment-and-supplies,73
"healthcare providers and services, and healthcare technology",healthcare-providers-and-services-and-healthcare-technology,64
homebuilding,homebuilding,39
"hotels, restaurants and leisure, and tourism services",hotels-restaurants-and-leisure-and-tourism-services,146
media,media,112
"mining - iron, aluminum, other metals",mining---iron-aluminum-other-metals,103
"mining - other (rare minerals, precious metals and gems)",mining---other-rare-minerals-precious-metals-and-gems,15
"mining-iron, aluminium, other metals",mining-iron-aluminium-other-metals,2
"pharmaceuticals, biotechnology and life sciences",pharmaceuticals-biotechnology-and-life-sciences,240
professional services,professional-services,847
real estate,real-estate,322
retailing,retailing,250
semiconductors and semiconductors equipment,semiconductors-and-semiconductors-equipment,71
software and services,software-and-services,557
solid waste management utilities,solid-waste-management-utilities,71
specialized consumer services,specialized-consumer-services,57
"specialized financial services, consumer finance, insurance brokerage firms",specialized-financial-services-consumer-finance-insurance-brokerage-firms,41
technology hardware and equipment,technology-hardware-and-equipment,264
telecommunication services,telecommunication-services,172
"textile manufacturing, spinning, weaving & apparel",textile-manufacturing-spinning-weaving--apparel,2
"textiles, apparel, footwear and luxury goods",textiles-apparel-footwear-and-luxury-goods,505
tires,tires,15
tobacco,tobacco,10
"trading companies and distributors, and commercial services and supplies",trading-companies-and-distributors-and-commercial-services-and-supplies,342
water transportation - ports and services,water-transportation---ports-and-services,11
water transportation - water transportation,water-transportation---water-transportation,18
water utilities,water-utilities,24
